Architecture,F1,EM,Recall,Latency (s),Cost ($),Steps,Escalation %
Baseline (4o-mini),48.83375563477969,36.4,55.85,6.2773818876743315,0.00011813969999999994,1.0,0.0
Baseline (4o),54.377546915866205,40.699999999999996,56.599999999999994,6.811422119140625,0.0019564250000000017,1.0,0.0
ReAct,52.220884719145644,40.0,58.35,6.271368636131287,0.00022790580000000014,3.974,0.0
Supervisor,52.90839647167361,40.8,57.199999999999996,10.095699307918549,0.0008387365500000017,4.078,0.0
Self-Correcting,57.338611294976616,43.9,65.45,10.554604645729064,0.0009992101499999998,3.132,0.0
Plan-Execute,39.67294933479201,24.8,49.15,9.134382286787034,0.0004834134000000001,2.508,0.0
Network,58.38736040491378,44.800000000000004,66.7,9.58571491241455,0.0007518984,4.726,0.0
Hybrid (T=0.6),54.99903403735874,39.4,65.8,9.89332524895668,0.0005222476499999997,4.743,41.3
Hybrid Test (T=0.5),58.71234613339876,45.0,71.0,15.114364533424377,0.0004917000000000001,5.04,42.0
Hybrid Test (T=0.6),61.54567946673208,47.0,71.0,10.712226510047913,0.0005034839999999998,5.15,45.0
Hybrid Test (T=0.7),60.63052795158058,48.0,70.0,11.51798270225525,0.0005378519999999998,5.29,47.0
Hybrid Test (T=0.8),59.21234613339876,44.0,70.5,11.422703380584716,0.0005590799999999999,5.37,45.0
Hybrid Test (T=0.9),58.9456794667321,46.0,72.5,12.612998909950257,0.0006563219999999998,6.26,59.0
